"A link to the entity RSS feed will also be added in the default Magento RSS list page.","A link to the entity RSS feed will also be added in the default Magento RSS list page."
"This will add to your entity 3 attributes. ""Meta title"", ""Meta Description"" and ""Meta Keywords"" and the logic to use them in the entity pages.","This will add to your entity 3 attributes. ""Meta title"", ""Meta Description"" and ""Meta Keywords"" and the logic to use them in the entity pages."
"This will add to your entity a ""Status"" field that will allow you to activate and deactivate the entities in the frontend. If you choose not to create the frontend files for your entity then is useless to set this to ""Yes"" but you can still do it.","This will add to your entity a ""Status"" field that will allow you to activate and deactivate the entities in the frontend. If you choose not to create the frontend files for your entity then is useless to set this to ""Yes"" but you can still do it."
"This will create a new attribute for your entity called ""Show in Feed"" and will also create the logic for viewing your entities as RSS feeds.","This will create a new attribute for your entity called ""Show in Feed"" and will also create the logic for viewing your entities as RSS feeds."
"This will create the code that will allow you to include widgets of your entities in the static pages and static blocks.","This will create the code that will allow you to include widgets of your entities in the static pages and static blocks."
"To add a new entity click on ""Add Entity""","To add a new entity click on ""Add Entity"""
"Try to use a noun in singular form.","Try to use a noun in singular form."
"Use WYSIWYG editor","Use WYSIWYG editor"
"Use {{Namespace}} as a placeholder for namespace, {{Module}} as a placeholder for the module name and {{Y}} as placeholder for current year.","Use {{Namespace}} as a placeholder for namespace, {{Module}} as a placeholder for the module name and {{Y}} as placeholder for current year."
"While in BETA version this is disabled. It\'s for your own safety.","While in BETA version this is disabled. It\'s for your own safety."
"You can change the default value from <a href=""%s"">System->Configuration->Module Creator</a>->Settings->Default Action.","You can change the default value from <a href=""%s"">System->Configuration->Module Creator</a>->Settings->Default Action."
"You can change the default value from <a href=""%s"">System->Configuration->Module Creator</a>->Settings->Default Codepool.","You can change the default value from <a href=""%s"">System->Configuration->Module Creator</a>->Settings->Default Codepool."
"You can change the default value from <a href=""%s"">System->Configuration->Module Creator</a>->Settings->Default License.","You can change the default value from <a href=""%s"">System->Configuration->Module Creator</a>->Settings->Default License."
"You can change the default value from <a href=""%s"">System->Configuration->Module creator</a>->Settings->Default Namespace.","You can change the default value from <a href=""%s"">System->Configuration->Module creator</a>->Settings->Default Namespace."
"You can configure it to create back-end and frontend files.","You can configure it to create back-end and frontend files."
"You can create one or more entities under the same extension.","You can create one or more entities under the same extension."
"You can see the order of the current menus by clicking the link under the field.","You can see the order of the current menus by clicking the link under the field."
"or <a href=""#"" onclick=""%s"">here</a>","or <a href=""#"" onclick=""%s"">here</a>"
